11: 55,37,69,22,56,75,5,34,9,88,27,61,78,13,25,53,38,57,24,10,73,77,84,95,99,86,49,29,67,50,16,47,80,28,2,42,45,91,82,12,4,8,93,20,90,3,39,89,18,43,26,11,85,41,32,58,52,65,87,51,70,40,7,1,62,79,96,54,72,35,14,76,19,98,59,64,94,97,31,36,23,33,17,44,21,15,68,0,63,30,71,81,46,48,74,92,6,66,60,83,
12: 75,62,58,40,44,71,77,55,72,8,80,43,20,31,88,1,83,52,67,76,98,94,16,23,84,0,32,79,29,59,6,11,41,26,7,14,38,47,63,54,27,95,45,66,34,65,68,64,5,70,81,35,19,36,50,74,12,46,85,37,10,33,15,3,93,60,51,25,4,13,9,69,96,89,56,86,21,90,48,91,18,24,42,30,53,99,49,92,39,2,97,82,57,61,28,87,73,78,22,17,
13: 37,69,50,80,44,63,75,27,31,8,46,99,76,65,39,47,57,32,24,35,49,25,13,88,91,2,10,6,98,67,64,78,89,34,56,9,38,83,81,52,26,94,70,0,79,71,18,92,3,58,74,7,96,45,17,4,77,51,97,66,5,28,20,36,11,15,85,33,95,23,68,61,86,73,55,87,41,53,1,62,42,22,93,12,43,29,19,90,48,82,16,59,72,54,40,84,60,21,30,14,
14: 12,32,30,52,43,76,73,37,68,94,56,48,26,35,58,70,40,1,74,4,22,57,91,18,83,75,25,0,60,69,65,96,51,3,67,11,13,99,44,86,47,89,21,53,31,49,98,6,36,9,15,66,95,87,79,7,14,20,41,82,54,78,80,61,84,39,77,2,64,17,42,63,81,55,23,5,45,33,28,92,71,27,8,72,85,93,19,62,50,46,29,88,34,38,97,16,24,90,59,10,
15: 54,25,87,83,88,76,33,6,77,67,59,85,37,3,51,38,34,78,49,63,26,16,98,7,60,8,65,82,43,18,11,52,42,93,41,92,32,14,97,48,73,89,62,29,35,15,96,1,4,12,91,13,45,17,5,55,72,99,86,46,71,2,0,80,9,94,24,69,40,81,68,44,47,61,66,27,22,90,75,53,19,31,39,23,64,79,28,58,70,50,56,10,95,36,30,74,21,57,20,84,
16: 74,38,43,73,10,87,44,36,4,95,78,33,48,24,71,47,59,89,60,35,27,96,3,77,32,8,86,75,12,52,91,51,97,68,84,17,63,46,15,85,19,66,7,67,49,58,98,11,41,2,81,13,53,20,69,25,34,29,14,9,88,82,76,21,6,1,54,28,23,40,55,0,5,64,61,93,22,57,18,83,70,16,99,80,94,26,72,79,31,62,42,65,30,37,39,90,56,45,92,50,
17: 28,74,71,57,51,91,20,72,23,84,7,95,34,24,18,66,83,94,26,90,44,14,62,49,96,38,25,73,86,45,50,79,17,64,13,80,46,31,10,3,67,97,85,9,82,12,21,77,89,29,19,8,40,55,87,36,42,60,58,76,11,0,81,92,65,88,56,27,93,61,35,48,5,15,2,70,63,75,99,53,69,4,22,59,6,33,1,16,37,32,68,43,54,98,39,41,78,47,30,52,
18: 66,44,33,92,5,64,54,65,70,77,80,95,26,46,11,43,10,39,37,88,13,61,51,87,3,28,38,9,55,67,79,86,49,58,60,7,25,17,94,84,40,57,50,96,81,2,0,23,83,8,12,24,15,97,75,91,20,22,78,4,59,72,6,30,56,53,18,99,21,76,45,69,42,14,34,62,27,90,52,47,63,71,73,93,1,89,82,35,16,32,74,68,98,48,41,29,31,19,36,85,
19: 14,17,50,35,37,69,31,81,9,12,32,18,43,83,76,60,93,78,59,30,73,42,72,90,52,22,82,8,77,98,29,94,87,20,57,26,53,19,1,65,70,16,84,27,0,58,54,74,88,92,56,34,28,5,24,89,25,3,96,79,2,23,99,49,7,55,62,85,39,63,75,15,91,6,86,36,71,66,4,13,38,48,41,33,64,45,95,80,11,46,44,10,47,40,21,97,68,61,51,67,
20: 54,52,69,81,45,70,66,10,21,30,49,96,14,79,28,47,99,43,55,76,38,1,12,82,40,0,5,19,39,58,36,26,93,56,6,68,91,80,73,4,89,94,59,67,3,18,9,92,78,95,11,42,33,15,48,22,57,25,41,37,60,97,44,20,84,35,88,23,77,62,16,8,87,98,86,13,74,17,63,53,90,65,46,72,7,34,83,31,75,32,24,51,61,29,71,2,27,50,64,85,
